Discipline,Female_Count,Male_Count,Total
Surfing,20,20,40
Artistic Gymnastics,98,98,196
Wrestling,96,193,289
Artistic Swimming,105,0,105
Water Polo,122,146,268
Sport Climbing,20,20,40
Skateboarding,40,40,80
Marathon Swimming,25,25,50
Golf,60,60,120
Judo,192,201,393
Cycling Road,70,131,201
Canoe Sprint,123,126,249
Cycling Mountain Bike,38,38,76
Athletics,969,1072,2041
Hockey,192,192,384
Diving,72,71,143
Swimming,361,418,779
Football,264,344,608
Cycling BMX Racing,24,24,48
Taekwondo,65,65,130
Rhythmic Gymnastics,96,0,96
Table Tennis,86,86,172
Badminton,86,87,173
Tennis,94,97,191
Triathlon,55,55,110
Equestrian,73,125,198
Weightlifting,98,99,197
Archery,64,64,128
Fencing,107,108,215
Rowing,257,265,522
Karate,40,42,82
Canoe Slalom,41,41,82
Boxing,102,187,289
Sailing,175,175,350
Trampoline Gymnastics,16,16,32
Modern Pentathlon,36,36,72
3x3 Basketball,32,32,64
Beach Volleyball,48,48,96
Cycling BMX Freestyle,10,9,19
Handball,168,168,336
Rugby Sevens,146,151,297
Basketball,144,144,288
Baseball/Softball,90,144,234
Cycling Track,90,99,189
Shooting,178,178,356
Volleyball,144,144,288
